Name,Opening,Status,Tel,Type,_id
สิทธิวงค์ ผลไม้,09.00 - 17.30,Registered,086-9921134,อาหารทานเล่น,64464f691de1fc3500f40757
ป้าละม่อม,09.30 - 20.00,Registered,088-4321122,อาหารตามสั่ง,64464f7e1de1fc3500f40758
อัสมา,09.30 - 19.00,noRegis,084-8997760,อาหารตามสั่ง,64464fb71de1fc3500f4075b
ก๊ะฮะ,10.00 - 17.00,noRegis,086-5544126,ข้าวราดแกง,64464fcf1de1fc3500f4075c
ร้านชา 8,10.00 - 19.30,noRegis,093-5654430,เครื่องดื่ม,64464fe51de1fc3500f4075d
เครื่องดื่มเดิม,09.30 - 18.30,noRegis,087-1236549,เครื่องดื่ม,64464ffa1de1fc3500f4075e
ลูกชิ้นนิตติยา,11.00 - 17.00,noRegis,089-6798541,อาหารทานเล่น,644650111de1fc3500f4075f
น้องมายด์ เครื่องดื่ม,10.00 - 18.00,noRegis,088-9844551,เครื่องดื่ม,644650241de1fc3500f40760
ลูกชุบขนมหวาน,10.30 - 18.00,noRegis,096-1995548,อาหารทานเล่น,644650381de1fc3500f40761
ฮูดียา,10.00 - 17.00,noRegis,081-2126694,ข้าวราดแกง,6446504a1de1fc3500f40762
ชายสี่หมี่เกี๊ยว,09.30 - 20.00,noRegis,099-3342564,ก๋วยเตี๋ยว,64469e33fa9a36305c0f029e
test res,08.00 - 15.00,Registered,0888,อาหารตามสั่ง,6447bd1101a5c18256972a61